STATE,AGI_STUB,A00200,A00300,A00600,A00650,A00900,A01000,A01400,A01700,A02300,A03300,A03270,A03150,A03210,A03240
US,0,6729585142,92958863,250723542,188921515,323702465,696578897,236410472,659649067,32178417,23004493,27717575,12906493,12667195,11910923
AL,0,77914371,808618,1750072,1322351,2988361,4153228,2686028,9830175,217362,150499,297210,127709,135347,125284
AK,0,17157024,149932,378733,274997,943837,817150,425846,1935437,231803,57451,62868,28871,32097,32120
AZ,0,114437143,1505997,3861943,2759223,5189606,8639462,5331711,13795247,354768,291434,452445,219198,227222,140640
AR,0,44711476,485687,3474803,3252576,1880777,2611014,1568713,4844572,228770,64128,163380,87558,81231,110007
CA,0,885261574,12760958,33029135,24230672,52473824,115947010,25622788,74952525,6127901,4206089,3931899,1832346,1106060,1445929
CO,0,123714955,1856192,4422726,3222015,6114981,13835895,4308687,11890174,474050,390894,685823,271269,286540,265858
CT,0,107583742,2039634,5878774,4476071,6071316,15772261,3815175,8785918,671208,619694,482691,186240,166243,117422
DE,0,19276789,188263,711963,563028,652525,1091677,898467,2630898,91976,53142,67008,33690,35322,19888
DC,0,20647341,217174,882388,649692,1196291,2748153,400148,1686114,58773,197364,64164,19936,49831,10366
FL,0,353844943,8703245,22386688,16339703,17098516,58563215,19730889,45198668,824951,761778,1584923,792396,596173,792684
GA,0,185713145,1642557,5899014,4727720,6704696,13064943,5729619,18342139,465473,493264,629353,312512,343424,248918
HI,0,27633762,313582,821822,609843,1655270,2103983,973785,3781588,165304,113506,116231,64779,45825,18126
ID,0,25789776,399451,728340,534932,1152637,2175351,1032390,3017186,143317,61444,159051,77830,63994,97238
IL,0,294320794,4270320,11882947,8506253,11782900,29513980,10762345,29766512,1691576,1082164,1188774,554055,586946,529223
IN,0,121516212,1019936,2858695,2124850,4430609,6291739,4635490,11440247,411335,274603,506474,218082,297327,289437
IA,0,59698959,783129,1616135,1197192,2323265,3885677,2149874,5633698,355909,194133,411785,155598,188391,200614
KS,0,56749142,730191,2347482,1929896,2673494,4862417,2217243,5152759,214432,184729,341293,120592,134881,154341
KY,0,70830515,639669,1950268,1558721,3017011,4579549,2451268,8642337,348055,154854,275981,121767,151357,101211
LA,0,81449173,841282,2035484,1536058,3930506,6356161,2477899,7853700,164974,250283,347764,144024,129047,163668
ME,0,23906164,256391,867170,678475,1401854,1720159,1084234,2763298,139858,72937,127252,83209,70058,29553
MD,0,154747176,1375022,4422426,3320413,6221585,9508190,4473026,17200591,590712,669900,498097,240824,245004,147072
MA,0,192763133,2527703,8244313,6181784,10353695,28470756,6320211,14184939,1403524,862939,836585,311469,389393,296689
MI,0,185493492,2092926,6021025,4510371,7934686,11391636,8544323,23334871,988640,464806,654373,375193,430745,450791
MN,0,130729542,1499085,3919793,2924309,5088826,10768292,4763530,10809230,694865,398247,674767,274363,358186,415553
MS,0,42624522,381198,797629,617986,2045378,1944830,1226767,5157430,132355,99561,181117,77735,68925,68398
MO,0,109752146,1264399,4164570,3376982,4644812,8145251,4421314,12215844,409299,283973,518454,221810,265939,195564
MT,0,17220344,285898,724845,499093,951396,2075757,717274,2170264,103760,52945,138122,67638,47671,57843
NE,0,37616103,475077,1168863,907708,1334532,3715646,1277507,3025904,88942,108719,263406,109649,99554,144569
NV,0,52147040,1086730,2608057,2049549,2172081,6846243,1869762,6465486,354061,106410,168868,91360,78988,86648
NH,0,34142082,425520,1244905,951621,2152858,2992703,1391081,2971524,137086,127432,154296,76605,86229,39418
NJ,0,254812343,3083116,8494590,6257599,12526784,19018446,8083149,20087647,1846108,1140399,1046198,453274,391752,230906
NM,0,31733167,396603,965643,717341,1446460,2233671,1212335,4989122,174679,67978,120780,69452,58723,51963
NY,0,493018630,11329133,23892739,17745290,26291056,86805921,14467723,43415670,2257283,2485037,1824975,964567,877947,631960
NC,0,177723833,1877202,5432498,4181017,7486453,12162985,6899453,18867876,480533,476497,780477,340315,329111,306276
ND,0,16997024,212504,349222,241984,789123,1857481,432312,1039417,52283,69748,136426,46443,51221,103709
OH,0,222067947,1889211,6872716,5333242,9744244,13941443,8762842,27200071,933142,616029,764103,389750,561885,408328
OK,0,66239827,740319,1610182,1263089,3081308,5169012,2190675,6553557,192948,116368,295684,117177,122008,179249
OR,0,74166997,1011732,2672845,1981370,3975952,6469342,3425650,8972335,539957,265532,416662,209829,188330,186121
PA,0,274161023,3267595,9670905,7276902,12800385,20332731,11271770,27546787,2140364,852048,1168508,554691,723625,458876
RI,0,22967012,288190,717298,544135,1093216,2111374,789263,2295534,202699,74710,109640,48489,50399,29840
SC,0,77823301,704202,2668114,2093077,3269525,5121504,3679816,10310946,220750,168935,289139,146161,168836,93143
SD,0,15404940,282692,471278,322534,770721,1790561,547245,1594055,31472,54847,169404,53154,53977,107724
TN,0,115643031,1230374,2884897,2103387,7999206,9414630,3914376,11656626,313974,405836,478120,190758,219088,122674
TX,0,565844172,7358819,17655220,13753140,30090343,63634366,15858101,40961256,1891358,1526995,1714548,829095,888142,947803
UT,0,54051103,656030,1172803,857349,1611196,4502557,1433031,4805466,166980,84639,205445,102852,95045,127786
VT,0,12652108,166354,664103,520873,802876,1357641,560399,1228577,72307,49322,76110,51030,43392,32287
VA,0,200380286,1908789,6401867,4874485,7883340,15714152,6200057,23441223,422853,776195,707830,323963,347939,170864
WA,0,169551046,2293855,7865736,6214480,7291743,20028401,6045858,15508755,990472,487725,732567,322654,290922,397175
WV,0,28230537,256064,536670,417552,1249359,1227946,927756,3743500,193520,74087,83108,52576,59323,25717
WI,0,118654480,1228098,3621467,2741132,4277061,8925077,5325105,11643033,669718,266199,497613,262854,289321,432571
WY,0,12705407,337621,1160840,967704,531112,2906403,429868,1249444,45848,27746,79105,30452,21722,55549
OA,0,55364348,1414594,3840901,2679749,2108877,7260925,646294,3058895,54130,68299,36679,48650,36537,15330
